lon lat dep Vp Vs
100.400 27.600 0.000 5.113 2.995
100.400 27.800 0.000 5.148 3.016
100.400 28.000 0.000 5.095 3.010
100.400 28.200 0.000 5.112 3.019
100.400 28.400 0.000 5.138 3.034
100.400 28.600 0.000 5.139 3.042
100.400 28.800 0.000 5.182 3.053
100.400 29.000 0.000 5.234 3.067
100.400 29.200 0.000 5.273 3.072
100.400 29.400 0.000 5.292 3.089
100.400 29.600 0.000 5.332 3.099
100.400 29.800 0.000 5.348 3.109
100.400 30.000 0.000 5.349 3.109
100.400 30.200 0.000 5.341 3.107
100.400 30.400 0.000 5.339 3.111
100.400 30.600 0.000 5.339 3.108
100.400 30.800 0.000 5.404 3.125
100.400 31.000 0.000 5.412 3.136
100.400 31.200 0.000 5.369 3.129
100.400 31.400 0.000 5.307 3.122
100.400 31.600 0.000 5.207 3.118
100.400 31.800 0.000 5.116 3.097
100.400 32.000 0.000 5.189 3.101
100.400 32.200 0.000 5.155 3.101
100.400 32.400 0.000 5.214 3.104
100.400 32.600 0.000 5.234 3.121
100.400 32.800 0.000 5.261 3.154
100.400 33.000 0.000 5.290 3.188
100.600 22.200 0.000 5.039 3.008
100.600 22.400 0.000 4.955 2.975
100.600 22.600 0.000 4.896 2.961
100.600 22.800 0.000 4.897 2.963
100.600 23.000 0.000 4.897 2.970
100.600 23.200 0.000 4.885 2.974
100.600 23.400 0.000 4.884 2.981
100.600 23.600 0.000 4.916 2.980
100.600 23.800 0.000 4.948 2.991
100.600 24.000 0.000 4.975 2.993
100.600 24.200 0.000 5.004 2.994
100.600 24.400 0.000 5.045 2.997
100.600 24.600 0.000 5.038 2.980
100.600 24.800 0.000 4.976 2.969
100.600 25.000 0.000 4.883 2.950
100.600 25.200 0.000 4.813 2.938
100.600 25.400 0.000 4.776 2.929
100.600 25.600 0.000 4.791 2.933
100.600 25.800 0.000 4.849 2.950
100.600 26.000 0.000 4.888 2.959
100.600 26.200 0.000 4.937 2.960
100.600 26.400 0.000 4.975 2.954
100.600 26.600 0.000 4.983 2.948
100.600 26.800 0.000 4.969 2.944
100.600 27.000 0.000 4.915 2.937
100.600 27.200 0.000 5.006 2.957
100.600 27.400 0.000 5.057 2.971
100.600 27.600 0.000 5.270 3.012
100.600 27.800 0.000 5.094 2.994
100.600 28.000 0.000 5.069 3.003
100.600 28.200 0.000 5.107 3.033
100.600 28.400 0.000 5.079 3.036
100.600 28.600 0.000 5.087 3.035
100.600 28.800 0.000 5.097 3.055
100.600 29.000 0.000 5.156 3.064
100.600 29.200 0.000 5.189 3.075
100.600 29.400 0.000 5.238 3.087
100.600 29.600 0.000 5.268 3.091
100.600 29.800 0.000 5.289 3.089
100.600 30.000 0.000 5.308 3.097
100.600 30.200 0.000 5.314 3.106
100.600 30.400 0.000 5.325 3.116
100.600 30.600 0.000 5.352 3.115
100.600 30.800 0.000 5.379 3.120
100.600 31.000 0.000 5.380 3.112
100.600 31.200 0.000 5.347 3.114
100.600 31.400 0.000 5.263 3.108
100.600 31.600 0.000 5.207 3.099
100.600 31.800 0.000 5.174 3.096
100.600 32.000 0.000 5.148 3.108
100.600 32.200 0.000 5.226 3.112
100.600 32.400 0.000 5.307 3.125
100.600 32.600 0.000 5.384 3.158
100.600 32.800 0.000 5.559 3.212
100.600 33.000 0.000 5.374 3.207
100.800 22.000 0.000 5.090 3.051
100.800 22.200 0.000 5.030 3.009
100.800 22.400 0.000 4.960 2.974
100.800 22.600 0.000 4.904 2.957
100.800 22.800 0.000 4.906 2.962
100.800 23.000 0.000 4.903 2.968
100.800 23.200 0.000 4.889 2.973
100.800 23.400 0.000 4.896 2.978
100.800 23.600 0.000 4.930 2.983
100.800 23.800 0.000 4.967 2.999
100.800 24.000 0.000 4.982 3.006
100.800 24.200 0.000 4.992 3.003
100.800 24.400 0.000 4.980 2.992
100.800 24.600 0.000 4.968 2.989
100.800 24.800 0.000 4.918 2.967
100.800 25.000 0.000 4.872 2.955
100.800 25.200 0.000 4.841 2.945
100.800 25.400 0.000 4.824 2.936
100.800 25.600 0.000 4.846 2.938
100.800 25.800 0.000 4.895 2.947
100.800 26.000 0.000 4.939 2.961
100.800 26.200 0.000 4.986 2.971
100.800 26.400 0.000 5.037 2.968
100.800 26.600 0.000 5.077 2.969
100.800 26.800 0.000 5.039 2.958
100.800 27.000 0.000 4.994 2.949
100.800 27.200 0.000 5.033 2.958
100.800 27.400 0.000 5.113 2.968
100.800 27.600 0.000 5.162 2.978
100.800 27.800 0.000 5.174 2.992
100.800 28.000 0.000 5.107 3.001
100.800 28.200 0.000 5.102 3.013
100.800 28.400 0.000 5.091 3.022
100.800 28.600 0.000 5.101 3.030
100.800 28.800 0.000 5.122 3.046
100.800 29.000 0.000 5.162 3.058
100.800 29.200 0.000 5.204 3.066
100.800 29.400 0.000 5.254 3.071
100.800 29.600 0.000 5.281 3.091
100.800 29.800 0.000 5.312 3.080
100.800 30.000 0.000 5.326 3.091
100.800 30.200 0.000 5.348 3.111
100.800 30.400 0.000 5.361 3.104
100.800 30.600 0.000 5.367 3.105
100.800 30.800 0.000 5.376 3.100
100.800 31.000 0.000 5.375 3.092
100.800 31.200 0.000 5.306 3.095
100.800 31.400 0.000 5.317 3.107
100.800 31.600 0.000 5.298 3.116
100.800 31.800 0.000 5.269 3.117
100.800 32.000 0.000 5.306 3.140
100.800 32.200 0.000 5.306 3.146
100.800 32.400 0.000 5.311 3.149
100.800 32.600 0.000 5.384 3.157
100.800 32.800 0.000 5.392 3.172
100.800 33.000 0.000 5.445 3.186
100.800 33.200 0.000 5.232 3.119
101.000 22.000 0.000 5.075 3.039
101.000 22.200 0.000 4.996 3.003
101.000 22.400 0.000 4.901 2.965
101.000 22.600 0.000 4.874 2.948
101.000 22.800 0.000 4.912 2.959
101.000 23.000 0.000 4.949 2.969
101.000 23.200 0.000 4.936 2.977
101.000 23.400 0.000 4.916 2.983
101.000 23.600 0.000 4.913 2.983
101.000 23.800 0.000 4.937 2.990
101.000 24.000 0.000 4.948 2.996
101.000 24.200 0.000 4.955 3.002
101.000 24.400 0.000 4.947 2.996
101.000 24.600 0.000 4.911 2.974
101.000 24.800 0.000 4.844 2.965
101.000 25.000 0.000 4.797 2.947
101.000 25.200 0.000 4.804 2.941
101.000 25.400 0.000 4.818 2.935
101.000 25.600 0.000 4.862 2.939
101.000 25.800 0.000 4.935 2.953
101.000 26.000 0.000 5.002 2.966
101.000 26.200 0.000 5.066 2.982
101.000 26.400 0.000 5.176 3.010
101.000 26.600 0.000 5.174 2.998
101.000 26.800 0.000 5.097 2.976
101.000 27.000 0.000 5.039 2.960
101.000 27.200 0.000 5.051 2.957
101.000 27.400 0.000 5.092 2.959
101.000 27.600 0.000 5.200 2.972
101.000 27.800 0.000 5.143 2.981
101.000 28.000 0.000 5.186 3.009
101.000 28.200 0.000 5.103 3.008
101.000 28.400 0.000 5.091 3.019
101.000 28.600 0.000 5.104 3.023
